TradeType,DistrictOfficeCode,DistrictOfficeName,CountryOfOrigin,CountryOfOriginName,CountryOfDestination,CountryOfDestinationName,Tariff,StatisticalUnit,TransportCode,TransportCodeDescription,YearMonth,CalendarYear,Section,SectionAndDescription,Chapter,ChapterAndDescription,TariffAndDescription,StatisticalQuantity,CustomsValue,WorldRegion
Imports,CTN,Cape Town,ES,Spain,ZA,South Africa,02064900,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,168523,1352325,EUROPE
Imports,CTN,Cape Town,ES,Spain,ZA,South Africa,02032990,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032990 - Other,37000,427249,EUROPE
Imports,CTN,Cape Town,PY,Paraguay,ZA,South Africa,02062900,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,26689.02,475755,AMERICA
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02022000,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02022000 - Other Cuts With Bone In,128032.34,1631653,OCEANIA
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02044200,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02044200 - Other Cuts With Bone In,206934.13,2137419,OCEANIA
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02089090,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02089090 - Other,90450,1829138,OCEANIA
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02069000,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",40256.64,251600,OCEANIA
Imports,CTN,Cape Town,UC,Unclassified,ZA,South Africa,02012000,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02012000 - Other Cuts With Bone In,517.08,5946,AFRICA
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02013000,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02013000 - Boneless,42962.9,1345681,OCEANIA
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02072700,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",236034,2078242,OCEANIA
Imports,DBN,Durban,BE,Belgium,ZA,South Africa,02064900,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,25004,88319,EUROPE
Imports,DBN,Durban,AR,Argentina,ZA,South Africa,02071410,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071410 - Boneless cuts,6990,79669,AMERICA
Imports,DBN,Durban,AR,Argentina,ZA,South Africa,02071420,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071420 - Offal,500990,1818094,AMERICA
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02064100,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02064100 - Livers,27995.1,249933,OCEANIA
Imports,DBN,Durban,AU,Australia,ZA,South Africa,02062900,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,633558.56,5208908,OCEANIA
Imports,DBN,Durban,DE,Germany,ZA,South Africa,02090000,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02090000 - Pig Fat, Free Of Lean Meat, And Poultry Fat, Not Rendered Or Otherwise Extracted, Fresh, Chilled, Frozen, Salted, In Brine, Dried Or Smoked",25003,111376,EUROPE
Imports,DBN,Durban,GB,United Kingdom,ZA,South Africa,02071490,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071490 - Other,195769,1307174,EUROPE
Imports,DBN,Durban,GB,United Kingdom,ZA,South Africa,02072700,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",263780,301977,EUROPE
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02064900,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,25517.62,73531,EUROPE
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02032910,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,49990,433916,EUROPE
Imports,DBN,Durban,FR,France,ZA,South Africa,02032910,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,96000,1982807,EUROPE
Imports,DBN,Durban,FR,France,ZA,South Africa,02064900,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,25152.1,174092,EUROPE
Imports,DBN,Durban,IE,Ireland,ZA,South Africa,02071420,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071420 - Offal,100935,421928,EUROPE
Imports,DBN,Durban,GB,United Kingdom,ZA,South Africa,02071210,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071210 - Mechanically deboned meat,453112,1554174,EUROPE
Imports,DBN,Durban,DE,Germany,ZA,South Africa,02032910,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,195040,3864113,EUROPE
Imports,DBN,Durban,DE,Germany,ZA,South Africa,02064900,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,165051,832123,EUROPE
Imports,DBN,Durban,ES,Spain,ZA,South Africa,02064900,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02064900 - Other,147709,615581,EUROPE
Imports,DBN,Durban,ES,Spain,ZA,South Africa,02032990,KG,00,Transport mode not specified (Unknown - Other),201007,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032990 - Other,26533,338454,EUROPE
